response_uid,prompt_uid,tokens,log_ratio_mean,log_ratio_std,log_ratio_min,log_ratio_max,frac_teacher_gt_student
5b636bc6-1c32-4920-84b4-2566f4889ff2,c65c0434-2c7e-46c5-b8c3-08cd6cd351a2,1466,-0.37197214365005493,1.4985417127609253,-35.44361114501953,2.0259628295898438,0.5729877352714539
833118ff-42e6-4df2-a24e-c6730bb346b1,c65c0434-2c7e-46c5-b8c3-08cd6cd351a2,3935,-0.10092613101005554,0.8974791169166565,-35.44361114501953,2.914621353149414,0.6655654311180115
437b85bc-8be6-4212-870c-4577bec3b31f,c65c0434-2c7e-46c5-b8c3-08cd6cd351a2,1035,-0.4924303889274597,1.727862000465393,-35.44361114501953,2.270069122314453,0.3391304314136505
6bcf7754-de62-412c-917e-b62104d9539a,c65c0434-2c7e-46c5-b8c3-08cd6cd351a2,873,-0.45688536763191223,1.813826560974121,-35.44361114501953,3.382139205932617,0.612829327583313
b17e9570-6f64-4157-a49f-05fd524495f3,a2c2690a-6b1f-4ba9-acb7-bb6d302ebb2f,521,-0.49180150032043457,2.1590816974639893,-33.356178283691406,1.681253433227539,0.6046065092086792
97b68e9b-db30-43e2-a858-65bf7e4e04ed,a2c2690a-6b1f-4ba9-acb7-bb6d302ebb2f,670,-0.674638032913208,2.2290709018707275,-33.356178283691406,1.8531856536865234,0.3238805830478668
3bbf9045-822d-447e-b796-483615d24235,a2c2690a-6b1f-4ba9-acb7-bb6d302ebb2f,8192,-0.6112604737281799,1.4217897653579712,-38.46139144897461,3.542520523071289,0.3560791015625
1a3146ab-3c11-4585-8ca8-6e65a38af0e6,a2c2690a-6b1f-4ba9-acb7-bb6d302ebb2f,421,-0.548269510269165,2.418633460998535,-33.356178283691406,1.7282371520996094,0.45130640268325806
7afb09f9-d9ef-4079-9cd1-e6008058ae63,4eacc61c-3330-46d3-9fda-7f23968ab753,753,-0.5378478169441223,1.8643550872802734,-23.547840118408203,3.085805892944336,0.5962815284729004
5e8ff896-cab4-4715-a958-0d029a77d17a,4eacc61c-3330-46d3-9fda-7f23968ab753,627,-0.5988887548446655,2.051945209503174,-23.547840118408203,2.3518409729003906,0.3269537389278412
26358d00-82bf-4890-a562-769e099a0431,4eacc61c-3330-46d3-9fda-7f23968ab753,917,-0.4833904206752777,1.7951714992523193,-23.547840118408203,2.9274158477783203,0.2050163596868515
8aab7094-fcc1-4e78-8301-2c257bece7c3,4eacc61c-3330-46d3-9fda-7f23968ab753,755,-0.5071024298667908,1.842076301574707,-23.547840118408203,3.4082698822021484,0.36556291580200195
bc69c57e-cd2d-4851-8849-3759e59090e3,8ff57fdf-b16c-4338-8201-0675c8439bcb,2100,-0.31367984414100647,1.4556913375854492,-29.900772094726562,3.2686290740966797,0.6680952310562134
c97ed852-2147-4939-968c-ec30d29c4d55,8ff57fdf-b16c-4338-8201-0675c8439bcb,591,-1.1787676811218262,3.5444703102111816,-30.710237503051758,2.7475242614746094,0.6480541229248047
b7ed038a-23e1-4d6f-a4b5-54bfb847807b,8ff57fdf-b16c-4338-8201-0675c8439bcb,1320,-0.32175490260124207,1.534307837486267,-29.900772094726562,2.737041473388672,0.6674242615699768
9d5c74ee-107e-4f61-8849-99ea9d43570e,8ff57fdf-b16c-4338-8201-0675c8439bcb,1862,-0.4450392425060272,2.303924083709717,-35.01189422607422,2.6310558319091797,0.7024704813957214
00058ff9-dc58-47e7-9cd0-36ff6dcafb6c,a79b0c96-329e-4e7b-9b00-5acf1b204a8b,4016,-0.29237207770347595,1.0958389043807983,-34.710853576660156,2.744121551513672,0.5062251091003418
ee657f53-8721-4ae8-9b58-f2d0e7903ebf,a79b0c96-329e-4e7b-9b00-5acf1b204a8b,733,-0.37771907448768616,1.74908447265625,-34.710853576660156,2.6168899536132812,0.2619372308254242
d64498d4-cc59-475f-a3d5-85a546b834a3,a79b0c96-329e-4e7b-9b00-5acf1b204a8b,5697,-0.3007558286190033,1.124375343322754,-34.710853576660156,4.243654251098633,0.25996139645576477
9003133d-a7c0-4df5-bff9-c47a5f756749,a79b0c96-329e-4e7b-9b00-5acf1b204a8b,1010,-0.237694650888443,1.4323471784591675,-34.710853576660156,1.4832305908203125,0.6108911037445068
26d4354e-bbab-4387-963d-e5d2ff50df91,cac01764-5111-4153-a91e-38ed8e427f85,461,-0.39287737011909485,2.090188980102539,-35.30497360229492,3.5843162536621094,0.35357916355133057
f51d8c55-913a-47cb-b5d3-4bd18fe2ea7e,cac01764-5111-4153-a91e-38ed8e427f85,424,-0.5371419787406921,2.250826120376587,-35.30497360229492,4.142881393432617,0.39150944352149963
efbb2fcd-47c3-4968-aaa0-e64216ab370d,cac01764-5111-4153-a91e-38ed8e427f85,661,-0.38650599122047424,1.8128252029418945,-35.30497360229492,2.9927616119384766,0.31013616919517517
aa094cf9-0a13-4fac-8d3f-58b58128c6b7,cac01764-5111-4153-a91e-38ed8e427f85,2931,-0.43917375802993774,1.2332254648208618,-35.30497360229492,3.85382080078125,0.41078129410743713
13dc791f-2b6c-4066-aec1-3cdd3c831837,1d85d81d-22a2-460b-8a13-12197f9d99e9,4050,-0.44277751445770264,1.2082198858261108,-18.083528518676758,3.3201122283935547,0.40567901730537415
c9fe6706-9dbb-447f-a431-2c997a4198bd,1d85d81d-22a2-460b-8a13-12197f9d99e9,20,-5.045130729675293,7.022096157073975,-25.091047286987305,1.9882850646972656,0.30000001192092896
f254367d-b2d4-4915-8a7f-0e89d6c33020,1d85d81d-22a2-460b-8a13-12197f9d99e9,740,-0.8370106220245361,2.250502347946167,-20.4424991607666,2.4141464233398438,0.5716215968132019
65e6e767-5f16-4872-8b4e-b208a0a62b4c,1d85d81d-22a2-460b-8a13-12197f9d99e9,123,-3.0280985832214355,6.808206081390381,-42.745506286621094,1.9882850646972656,0.6178861856460571
2a79e879-2b89-4669-9829-5cb6c72f1ba6,f6a5a4c2-1e19-4303-951d-23b01138e33a,675,-0.6031015515327454,2.0021562576293945,-33.084442138671875,3.1836585998535156,0.4118518531322479
c65b70ba-2ca0-46ef-8d43-2f96b4c7faa0,f6a5a4c2-1e19-4303-951d-23b01138e33a,1487,-0.30952560901641846,1.5032113790512085,-33.084442138671875,3.1855640411376953,0.6220578551292419
c43e3904-d7e6-4d9a-998f-94e7b8bac24a,f6a5a4c2-1e19-4303-951d-23b01138e33a,1189,-0.33244967460632324,1.5742168426513672,-33.084442138671875,3.8998584747314453,0.5306980609893799
e18878c8-9621-4856-aa8f-2a181c19e03d,f6a5a4c2-1e19-4303-951d-23b01138e33a,612,-0.5765236020088196,2.075843572616577,-33.084442138671875,3.821563720703125,0.4820261299610138
a1bf7ebe-8281-4aac-9bfb-197ef58e98eb,0031a417-9c81-4583-8852-ccb56a94b9e7,591,-0.32684046030044556,1.8376919031143188,-36.23042678833008,2.7354202270507812,0.5482233762741089
c1fb1a51-fd99-4b13-a703-e18050422c45,0031a417-9c81-4583-8852-ccb56a94b9e7,547,-0.34932148456573486,1.9178411960601807,-36.23042678833008,5.998876571655273,0.2522851824760437
955a2485-c187-41d3-b055-eebdf504d283,0031a417-9c81-4583-8852-ccb56a94b9e7,706,-0.2840542197227478,1.6237947940826416,-36.23042678833008,1.976095199584961,0.3611898124217987
afa10f9e-5faa-463a-b50f-eb650be9eaf0,0031a417-9c81-4583-8852-ccb56a94b9e7,671,-0.3597698211669922,1.8698064088821411,-36.23042678833008,2.571481704711914,0.30849477648735046
5cc0f87d-d56e-4333-8152-2bd74199541d,c4b22d2c-0bf2-44c0-8b9b-7e742ee3b140,2,-22.9704647064209,9.741922378540039,-32.71238708496094,-13.22854232788086,0.0
5a965d71-53a2-471f-a1ac-975da687f66a,c4b22d2c-0bf2-44c0-8b9b-7e742ee3b140,2,-22.9704647064209,9.741922378540039,-32.71238708496094,-13.22854232788086,0.0
5044f36a-ed11-4ac4-88cb-484f4a6858fc,c4b22d2c-0bf2-44c0-8b9b-7e742ee3b140,2,-22.9704647064209,9.741922378540039,-32.71238708496094,-13.22854232788086,0.0
0dd0ffea-7706-4a28-b3b7-d47d2c295f45,c4b22d2c-0bf2-44c0-8b9b-7e742ee3b140,2,-22.9704647064209,9.741922378540039,-32.71238708496094,-13.22854232788086,0.0
6d4bd286-c3f4-44c9-9b86-4953230bc99f,f1aee83a-ecd6-4038-9ee4-30a2f22a2435,635,-0.41203227639198303,1.8634028434753418,-36.398773193359375,1.6237659454345703,0.5480315089225769
c4cb86e0-6746-4685-8682-a33daafd78ee,f1aee83a-ecd6-4038-9ee4-30a2f22a2435,793,-0.3806149363517761,1.733688235282898,-36.398773193359375,2.3180160522460938,0.44010087847709656
58f996a5-5473-471d-9889-ddb75264d773,f1aee83a-ecd6-4038-9ee4-30a2f22a2435,805,-0.47952020168304443,1.8876057863235474,-36.398773193359375,2.6464385986328125,0.5639751553535461
dc60632c-7553-4959-b0e4-0723fe5b5313,f1aee83a-ecd6-4038-9ee4-30a2f22a2435,595,-0.5780566334724426,2.217928409576416,-36.398773193359375,2.6090145111083984,0.6168067455291748
37e6147f-d0cb-40b6-b634-1e78afa25d8d,05f8af97-f117-4548-8409-ba799bcc5ae1,732,-0.34465479850769043,1.7715212106704712,-36.40331268310547,2.850200653076172,0.3442623019218445
dc5d3f06-1ff1-466d-8ad0-a19e9b49c7cf,05f8af97-f117-4548-8409-ba799bcc5ae1,943,-0.2561343312263489,1.6061021089553833,-36.40331268310547,5.233589172363281,0.401908814907074
2a495444-25f6-445c-8781-f684bf95be2b,05f8af97-f117-4548-8409-ba799bcc5ae1,1049,-0.24581851065158844,1.5298596620559692,-36.40331268310547,2.921945571899414,0.3546234369277954
1a351172-e0a4-48e3-8bb9-8b3fc7840759,05f8af97-f117-4548-8409-ba799bcc5ae1,712,-0.32191288471221924,1.7309659719467163,-36.40331268310547,2.850200653076172,0.32303372025489807
8ee980ea-98df-40d3-b60a-46feae2db6e4,1d44c167-d94b-4493-9f1f-3dd23dd49ac8,801,-0.5359942317008972,1.6356170177459717,-21.57842254638672,3.268413543701172,0.4856429398059845
c6573132-e606-466f-8182-4ce32955bd01,1d44c167-d94b-4493-9f1f-3dd23dd49ac8,1065,-0.2254115343093872,1.167566180229187,-19.16085433959961,2.30865478515625,0.6403756141662598
a3843a9e-abc4-47d9-97b1-0b486a048187,1d44c167-d94b-4493-9f1f-3dd23dd49ac8,1072,-0.4144665598869324,1.3640974760055542,-19.799997329711914,2.758087158203125,0.5223880410194397
